VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,DROPOUT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,7.0,58.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,LESS,ECON/JOBS,NO,CLINTON,BETTER,OMITS,,,CATHOLIC,,,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,,50-64,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,14.0,SECOND CALL,65-74,WHITE,MALE,OTHER,GIORDANO,APPROVE,UNFAVORABLE,WOULDNOTVOTE,LESS,WORLDAFFAIRS,NO,DOLE,WORSE,APP/UNFAV,ELSE,COLGRAD,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CONNVALLEY,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,3.201
STATE ONLY,7.0,58.0,15.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,PEROT,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,16.0,SECOND CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.507
STATE ONLY,7.0,58.0,17.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,0.839
STATE ONLY,7.0,58.0,18.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,19.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.509
STATE ONLY,7.0,58.0,20.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,21.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,22.0,THIRD CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,OMITS,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,OMITS,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.5640000000000001
STATE ONLY,7.0,58.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,TAXES,NO,NOVOTE,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,24.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.507
STATE ONLY,7.0,58.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.509
STATE ONLY,7.0,58.0,26.0,THIRD CALL,60-64,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,0.749
STATE ONLY,7.0,58.0,27.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,MORE,TAXES,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.5630000000000001
STATE ONLY,7.0,58.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,29.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,0.505
STATE ONLY,7.0,58.0,30.0,THIRD CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.5640000000000001
STATE ONLY,7.0,58.0,31.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,0.839
STATE ONLY,7.0,58.0,32.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.507
STATE ONLY,7.0,58.0,33.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.507
STATE ONLY,7.0,58.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.5670000000000001
STATE ONLY,7.0,58.0,35.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,36.0,THIRD CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,OMITS,OMITS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.5640000000000001
STATE ONLY,7.0,58.0,37.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.509
STATE ONLY,7.0,58.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,PEROT,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.5670000000000001
STATE ONLY,7.0,58.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,LIEBERMAN,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,WORLDAFFAIRS,OMITS,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,JEWISH,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CONNVALLEY,45-59,50-59,IND/OTHER,50-64,JEWISH,,,0.308
STATE ONLY,7.0,58.0,40.0,THIRD CALL,18-24,WHITE,MALE,OTHER,GIORDANO,APPROVE,FAVORABLE,BUSH,MORE,WORLDAFFAIRS,YES,NOVOTE,WORSE,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CONNVALLEY,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,2.144
STATE ONLY,7.0,64.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,PEROT,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.423
STATE ONLY,7.0,64.0,2.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GIORDANO,DISAPPR,FAVORABLE,BUSH,LESS,SOCIALSECUR,YES,DOLE,BETTER,DIS/FAV,REPUBLCN,NOHS,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.985
STATE ONLY,7.0,64.0,3.0,FIRST CALL,45-49,HISP,MALE,BUSH,GIORDANO,APPROVE,FAVORABLE,BUSH,LESS,MEDICARE/RX,YES,NOVOTE,SAME,APP/FAV,REPUBLCN,,CATHOLIC,15-30K,,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.591
STATE ONLY,7.0,64.0,4.0,FIRST CALL,50-59,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.671
STATE ONLY,7.0,64.0,5.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.55
STATE ONLY,7.0,64.0,6.0,FIRST CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,ELSE,COLGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,NONE,,,0.518
STATE ONLY,7.0,64.0,7.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.373
STATE ONLY,7.0,64.0,8.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,30-50K,CONSERV,65+,STATE,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.985
STATE ONLY,7.0,64.0,9.0,FIRST CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,JEWISH,30-50K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,0.457
STATE ONLY,7.0,64.0,10.0,FIRST CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.518
STATE ONLY,7.0,64.0,11.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,PEROT,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.55
STATE ONLY,7.0,64.0,12.0,SECOND CALL,65-74,WHITE,MALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,MORE,MEDICARE/RX,OMITS,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,LARGECITY,60+,60+,,65+,,,,0.759
STATE ONLY,7.0,64.0,13.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,YES,PEROT,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.643
STATE ONLY,7.0,64.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,LIEBERMAN,APPROVE,FAVORABLE,BUSH,LESS,ECON/JOBS,NO,PEROT,SAME,APP/FAV,INDEPEND,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.164
STATE ONLY,7.0,64.0,15.0,SECOND CALL,45-49,HISP,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,OMITS,DOLE,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.591
STATE ONLY,7.0,64.0,16.0,SECOND CALL,45-49,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,YES,PEROT,WORSE,DIS/UNFAV,ELSE,POSTGRAD,ELSE,50-75K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.671
STATE ONLY,7.0,64.0,17.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,MORE,MEDICARE/RX,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.518
STATE ONLY,7.0,64.0,18.0,SECOND CALL,18-24,HISP,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,TAXES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,0.402
STATE ONLY,7.0,64.0,19.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/FAV,ELSE,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.375
STATE ONLY,7.0,64.0,20.0,SECOND CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,YES,PEROT,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,,,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,,,,0.518
STATE ONLY,7.0,64.0,21.0,SECOND CALL,25-29,WHITE,MALE,NADER,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.178
STATE ONLY,7.0,64.0,22.0,SECOND CALL,75+,WHITE,MALE,NADER,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,YES,OTHER,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.294
STATE ONLY,7.0,64.0,23.0,SECOND CALL,30-39,HISP,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.373
STATE ONLY,7.0,64.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,NO,DOLE,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.423
STATE ONLY,7.0,64.0,25.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.373
STATE ONLY,7.0,64.0,26.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,GORE,LESS,MEDICARE/RX,NO,OMITS,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,CONSERV,65+,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.9420000000000001
STATE ONLY,7.0,64.0,27.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,LIEBERMAN,APPROVE,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,YES,CLINTON,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.9420000000000001
STATE ONLY,7.0,64.0,28.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.807
STATE ONLY,7.0,64.0,29.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.807
STATE ONLY,7.0,64.0,30.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.423
STATE ONLY,7.0,64.0,31.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.807
STATE ONLY,7.0,64.0,32.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.622
STATE ONLY,7.0,64.0,33.0,THIRD CALL,40-44,WHITE,MALE,NADER,GIORDANO,DISAPPR,UNFAVORABLE,GORE,LESS,TAXES,NO,CLINTON,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.17200000000000001
STATE ONLY,7.0,64.0,34.0,THIRD CALL,50-59,BLACK,MALE,BUSH,GIORDANO,APPROVE,FAVORABLE,BUSH,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.591
STATE ONLY,7.0,64.0,35.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,EDUCATION,NO,NOVOTE,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,0.485
STATE ONLY,7.0,64.0,36.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,YES,DOLE,BETTER,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.671
STATE ONLY,7.0,64.0,37.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.423
STATE ONLY,7.0,64.0,38.0,THIRD CALL,50-59,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,YES,PEROT,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.671
STATE ONLY,7.0,64.0,39.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.373
STATE ONLY,7.0,64.0,40.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,YES,NOVOTE,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.375
