VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,RIDGEVP,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,39.0,122.0,9.0,SECOND CALL,317.0,50-59,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,GOODJUDGMENT,CLINTON,ME,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,,,0.317
NATIONAL WHITE,39.0,122.0,10.0,SECOND CALL,317.0,45-49,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,GOODJUDGMENT,CLINTON,ME,,BETTER,APP/FAV,,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,0.317
NATIONAL WHITE,39.0,122.0,11.0,SECOND CALL,352.0,40-44,BLACK,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,EXPERIENCE,CLINTON,NONE,,WORSE,APP/FAV,NO,DEMOCRAT,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,0.352
NATIONAL YELLOW,39.0,122.0,12.0,SECOND CALL,317.0,40-44,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,EDUCATION,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/FAV,NO,DEMOCRAT,OVER500K,NOHS,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,EDUCATION,COMPLEXISSUE,0.317
NATIONAL YELLOW,39.0,122.0,13.0,SECOND CALL,352.0,30-39,BLACK,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,NOVOTE,ME,,BETTER,APP/FAV,YES,INDEPEND,OVER500K,HSGRAD,OTHERCHRIST,AFEWAYEAR,LESS15K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,ISSUES,EDUCATION,EXPERIENCE,0.352
NATIONAL YELLOW,39.0,122.0,14.0,SECOND CALL,350.0,50-59,BLACK,FEMALE,BUSH,KLINK,,APPROVE,FAVORABLE,BUSH,LESS,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,ME,,BETTER,APP/FAV,NO,DEMOCRAT,OVER500K,HSGRAD,,MORETHAN1AWK,LESS15K,NO,NO,,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,,,,PERSONALQUAL,SOCIALSECUR,COMPLEXISSUE,0.35000000000000003
NATIONAL YELLOW,39.0,122.0,15.0,SECOND CALL,352.0,30-39,BLACK,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,CARES,CLINTON,NONE,,SAME,APP/FAV,NO,DEMOCRAT,OVER500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,LESS15K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,ISSUES,MEDICARE/RX,CARES,0.352
NATIONAL YELLOW,39.0,122.0,16.0,SECOND CALL,352.0,45-49,BLACK,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,NOHS,ELSE,AFEWAYEAR,50-75K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,OTHER,,,ISSUES,SOCIALSECUR,EXPERIENCE,0.352
NATIONAL YELLOW,39.0,122.0,17.0,SECOND CALL,317.0,50-59,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,SOCIALSECUR,CARES,NOVOTE,NONE,,SAME,APP/FAV,NO,DEMOCRAT,OVER500K,SOMCOL/ASSOC,NONE,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,NONE,,,ISSUES,SOCIALSECUR,CARES,0.317
NATIONAL YELLOW,39.0,122.0,18.0,SECOND CALL,326.0,40-44,HISP,MALE,GORE,SANTORUM,,APPROVE,FAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,NONE,,BETTER,APP/FAV,YES,INDEPEND,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,PERSONALQUAL,ECON/JOBS,EXPERIENCE,0.326
NATIONAL GREY,39.0,122.0,19.0,SECOND CALL,317.0,30-39,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,,ONLYGORE,ONLYGORE,,,,0.317
NATIONAL GREY,39.0,122.0,20.0,SECOND CALL,311.0,25-29,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,OVER500K,HSGRAD,,,LESS15K,,,CONSERV,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,25-29,DEMOCRAT,25-29,,ONLYGORE,ONLYBUSH,,,,0.311
NATIONAL GREY,39.0,122.0,21.0,SECOND CALL,304.0,30-39,BLACK,FEMALE,GORE,,BEFORE,,,,,CITYOVER50K,,,,,GOREDID,,,,,OVER500K,HSGRAD,,,LESS15K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,,30-39,,ONLYGORE,ONLYGORE,,,,0.304
NATIONAL GREY,39.0,122.0,22.0,SECOND CALL,311.0,25-29,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,,LESS15K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,25-29,DEMOCRAT,25-29,,ONLYGORE,ONLYBUSH,,,,0.311
NATIONAL GREY,39.0,122.0,23.0,SECOND CALL,367.0,75+,OTHER,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,OMITS,,,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,,LESS15K,,,LIBERAL,65+,CUTFEDINCTAX,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,,ONLYGORE,ONLYGORE,,,,0.367
NATIONAL GREY,39.0,122.0,24.0,SECOND CALL,352.0,40-44,BLACK,MALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,,ONLYGORE,ONLYGORE,,,,0.352
NATIONAL GREY,39.0,122.0,25.0,SECOND CALL,317.0,65-74,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,OVER500K,NOHS,,,LESS15K,,,LIBERAL,65+,REDUCNATDEBT,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,,ONLYGORE,ONLYGORE,,,,0.317
NATIONAL PINK,39.0,122.0,26.0,SECOND CALL,317.0,75+,BLACK,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,OVER500K,,OTHERCHRIST,,LESS15K,YES,NO,MODERATE,65+,,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,,,,0.317
NATIONAL PINK,39.0,122.0,27.0,SECOND CALL,352.0,45-49,BLACK,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,ME,,,,YES,DEMOCRAT,OVER500K,,OTHERCHRIST,,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,,,,0.352
NATIONAL PINK,39.0,122.0,28.0,SECOND CALL,317.0,50-59,BLACK,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,ME,,,,YES,DEMOCRAT,OVER500K,,ELSE,,15-30K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,OTHER,,,,,,0.317
NATIONAL PINK,39.0,122.0,29.0,SECOND CALL,317.0,65-74,BLACK,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,ME,,,,NO,DEMOCRAT,OVER500K,,PROTESTANT,,15-30K,NO,NO,LIBERAL,65+,,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,,,,0.317
NATIONAL PINK,39.0,122.0,30.0,SECOND CALL,353.0,65-74,BLACK,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,OVER500K,,PROTESTANT,,30-50K,NO,NO,LIBERAL,65+,,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,,,,0.353
NATIONAL PINK,39.0,122.0,31.0,SECOND CALL,353.0,65-74,BLACK,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,OVER500K,,ELSE,,15-30K,YES,YES,LIBERAL,65+,,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,OTHER,,,,,,0.353
NATIONAL WHITE,39.0,122.0,32.0,THIRD CALL,311.0,18-24,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,STRONGLEADER,CLINTON,ME,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,15-30K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,ISSUES,,,0.311
NATIONAL WHITE,39.0,122.0,33.0,THIRD CALL,372.0,40-44,BLACK,FEMALE,GORE,OTHER,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,HONEST,OTHER,MEANDSOMEONE,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,0.372
NATIONAL WHITE,39.0,122.0,34.0,THIRD CALL,317.0,45-49,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,CLINTON,NONE,,SAME,APP/FAV,YES,DEMOCRAT,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,0.317
NATIONAL WHITE,39.0,122.0,35.0,THIRD CALL,320.0,18-24,BLACK,MALE,GORE,SANTORUM,,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/UNFAV,YES,DEMOCRAT,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,ISSUES,,,0.32
NATIONAL YELLOW,39.0,122.0,36.0,THIRD CALL,408.0,30-39,WHITE,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,GOODJUDGMENT,CLINTON,SOMEONEELSE,,SAME,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,ELSE,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,OTHER,,,ISSUES,SOCIALSECUR,GOODJUDGMENT,0.40800000000000003
NATIONAL YELLOW,39.0,122.0,37.0,THIRD CALL,317.0,30-39,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,SOCIALSECUR,CARES,CLINTON,NONE,,SAME,APP/FAV,YES,DEMOCRAT,OVER500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,50-75K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,ISSUES,SOCIALSECUR,CARES,0.317
NATIONAL YELLOW,39.0,122.0,38.0,THIRD CALL,311.0,25-29,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,TAXES,CARES,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,COLGRAD,NONE,AFEWAYEAR,,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,25-29,DEMOCRAT,25-29,NONE,,,ISSUES,TAXES,CARES,0.311
NATIONAL YELLOW,39.0,122.0,39.0,THIRD CALL,317.0,75+,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,NONE,,SAME,APP/FAV,NO,DEMOCRAT,OVER500K,SOMCOL/ASSOC,NONE,AFEWAYEAR,15-30K,NO,NO,CONSERV,65+,,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,DEMOCRAT,65+,NONE,,,ISSUES,SOCIALSECUR,COMPLEXISSUE,0.317
NATIONAL YELLOW,39.0,122.0,40.0,THIRD CALL,317.0,50-59,BLACK,FEMALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,CLINTON,ME,,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,PROTESTANT,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,SOCIALSECUR,EXPERIENCE,0.317
NATIONAL GREY,39.0,122.0,41.0,THIRD CALL,317.0,30-39,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,OVER500K,SOMCOL/ASSOC,,,30-50K,,,LIBERAL,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,REPUBLICAN,30-39,,ONLYGORE,NEITHER,,,,0.317
NATIONAL GREY,39.0,122.0,42.0,THIRD CALL,311.0,18-24,BLACK,FEMALE,GORE,KLINK,LASTWEEK,,,,,CITYOVER50K,,,,,BOTHDID,,,,INDEPEND,OVER500K,HSGRAD,,,15-30K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,18-24,IND/OTHER,18-24,,ONLYGORE,ONLYBUSH,,,,0.311
NATIONAL GREY,39.0,122.0,43.0,THIRD CALL,317.0,45-49,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,DEMOCRAT,OVER500K,HSGRAD,,,15-30K,,,LIBERAL,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,,ONLYGORE,ONLYBUSH,,,,0.317
NATIONAL GREY,39.0,122.0,44.0,THIRD CALL,317.0,30-39,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,DEMOCRAT,OVER500K,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,,NEITHER,BOTH,,,,0.317
NATIONAL GREY,39.0,122.0,45.0,THIRD CALL,317.0,65-74,BLACK,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BUSHDID,,,,INDEPEND,OVER500K,HSGRAD,,,30-50K,,,MODERATE,65+,SOCIALSECURI,,NATIONAL,COMPLETE,PHILADELPHIA,60+,60+,IND/OTHER,65+,,ONLYGORE,ONLYBUSH,,,,0.317
NATIONAL PINK,39.0,122.0,46.0,THIRD CALL,317.0,40-44,BLACK,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,DEMOCRAT,OVER500K,,ELSE,,LESS15K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,OTHER,,,,,,0.317
NATIONAL PINK,39.0,122.0,47.0,THIRD CALL,352.0,50-59,BLACK,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,OVER500K,,OTHERCHRIST,,,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,,,,0.352
NATIONAL PINK,39.0,122.0,48.0,THIRD CALL,311.0,25-29,BLACK,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,INDEPEND,OVER500K,,OTHERCHRIST,,15-30K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,,,,0.311
NATIONAL PINK,39.0,122.0,49.0,THIRD CALL,352.0,45-49,BLACK,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,ME,,,,YES,DEMOCRAT,OVER500K,,CATHOLIC,,LESS15K,,,MODERATE,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,,,,0.352
NATIONAL PINK,39.0,122.0,50.0,THIRD CALL,333.0,18-24,BLACK,MALE,GORE,,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,OVER500K,,ELSE,,LESS15K,NO,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,PHILADELPHIA,18-29,18-24,DEMOCRAT,18-24,OTHER,,,,,,0.333
STATE ONLY,39.0,124.0,1.0,FIRST CALL,1424.0,50-59,BLACK,MALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,OMITS,NONE,NEITHERDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,45-59,50-59,,50-64,,OMITS,OMITS,OMITS,,,1.424
STATE ONLY,39.0,124.0,2.0,FIRST CALL,1647.0,45-49,WHITE,MALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,OMITS,NONE,BUSHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,45-59,40-49,,40-49,,OMITS,OMITS,OMITS,,,1.647
STATE ONLY,39.0,124.0,3.0,FIRST CALL,1229.0,30-39,BLACK,FEMALE,GORE,,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,EDUCATION,CARES,OMITS,NONE,NEITHERDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,30-44,30-39,,30-39,,OMITS,OMITS,OMITS,,,1.229
STATE ONLY,39.0,124.0,4.0,FIRST CALL,1252.0,25-29,BLACK,FEMALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,EDUCATION,COMPLEXISSUE,OMITS,ME,BOTHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,18-29,25-29,,25-29,,OMITS,OMITS,OMITS,,,1.252
STATE ONLY,39.0,124.0,5.0,FIRST CALL,1229.0,50-59,BLACK,FEMALE,GORE,,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,CARES,CLINTON,SOMEONEELSE,BUSHDID,SAME,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,1.229
STATE ONLY,39.0,124.0,6.0,FIRST CALL,1278.0,40-44,BLACK,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,SOMEONEELSE,NEITHERDID,SAME,APP/FAV,NO,DEMOCRAT,OVER500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,1.278
STATE ONLY,39.0,124.0,7.0,FIRST CALL,1278.0,75+,BLACK,FEMALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,MEDICARE/RX,CARES,OMITS,NONE,BUSHDID,OMITS,,,,OVER500K,,,OMITS,,,,,65+,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.278
STATE ONLY,39.0,124.0,8.0,SECOND CALL,1424.0,60-64,HISP,MALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,STRONGLEADER,OMITS,NONE,BOTHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,60+,60+,,50-64,,OMITS,OMITS,OMITS,,,1.424
STATE ONLY,39.0,124.0,9.0,SECOND CALL,1481.0,30-39,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,HEALTHCARE,EXPERIENCE,CLINTON,ME,NEITHERDID,SAME,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,OTHRPROGRAMS,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.481
STATE ONLY,39.0,124.0,10.0,SECOND CALL,1278.0,30-39,HISP,FEMALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,EDUCATION,STRONGLEADER,OMITS,MEANDSOMEONE,BOTHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,30-44,30-39,,30-39,,OMITS,OMITS,OMITS,,,1.278
STATE ONLY,39.0,124.0,11.0,SECOND CALL,1278.0,30-39,BLACK,FEMALE,GORE,KLINK,BEFORE,OMITS,OMITS,OMITS,MORE,CITYOVER50K,MEDICARE/RX,CARES,OMITS,NONE,BUSHDID,OMITS,,,,OVER500K,,,OMITS,,,,,18-64,OMITS,GORE/LIEBERM,STATE,NOTCOMPLETE,PHILADELPHIA,30-44,30-39,,30-39,,OMITS,OMITS,OMITS,,,1.278
STATE ONLY,39.0,124.0,12.0,SECOND CALL,1424.0,50-59,BLACK,MALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,EXPERIENCE,CLINTON,ME,OMITS,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,HSGRAD,ELSE,MORETHAN1AWK,,YES,NO,CONSERV,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,45-59,50-59,DEMOCRAT,50-64,OTHER,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.424
STATE ONLY,39.0,124.0,13.0,SECOND CALL,1252.0,25-29,BLACK,,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,CARES,NOVOTE,NONE,OMITS,WORSE,APP/FAV,NO,DEMOCRAT,OVER500K,SOMCOL/ASSOC,ELSE,MORETHAN1AWK,LESS15K,NO,YES,MODERATE,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,18-29,25-29,DEMOCRAT,25-29,OTHER,ONLYGORE,BOTH,PERSONALQUAL,,,1.252
STATE ONLY,39.0,124.0,14.0,SECOND CALL,1278.0,30-39,BLACK,FEMALE,GORE,KLINK,BEFORE,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,STRONGLEADER,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,OVER500K,NOHS,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,PHILADELPHIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,1.278
