QRACE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYREPS,REALWIN,GORE,BRADLEY,BEATDEM,GAY,HISPANIC,REL5,REGCA,NOVCHOIC,WEIGHT,BACKSIDE,GEOCODE
WHITE,5.0,116.0,21.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,NO,REPUBLICAN,,,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,OMITS,OMITS,,BUSH,OMITS,NO,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.601,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,25.0,SECOND CALL,50-59,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.581,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,28.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE THAT,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.601,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,29.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.525,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,30.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,,,OMITS,,,,SAME,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,,,,BUSH,OMITS,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.719,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,31.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,YES,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,JEWISH,REPUBLICAN,,0.629,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,38.0,SECOND CALL,45-49,WHITE,FEMALE,MCCAIN,,ABORTION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,OMITS,,,ABOUT RIGHT,,,,NO,SOMEWHAT,1,,,OMITS,FAVORABLE,MCCAIN,NO,,CATHOLIC,REPUBLICAN,,0.542,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,41.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,EDUCATION,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,FAVORABLE,UNFAVORABLE,BUSH,,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.662,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,43.0,SECOND CALL,50-59,WHITE,MALE,BUSH,,OMITS,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,YES,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,JEWISH,REPUBLICAN,,0.581,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,44.0,THIRD CALL,30-39,WHITE,MALE,BUSH,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,DEMOCRAT,,,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,,,,BUSH,MCCAIN,,BOTH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.581,COMPLETED,SOUTHERN CALIFORNIA
HISPANIC,5.0,116.0,45.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,NEITHER,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,YES,,REPUBLICAN,SATISFIED,0.8270000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,47.0,THIRD CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.6960000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,48.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,OMITS,0.662,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,51.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,MCCAIN,TODAY,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BOTH,NEITHER,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,YES,,REPUBLICAN,SATISFIED,0.771,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,55.0,THIRD CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,OMITS,,BUSH,BUSH,YES,,,2, KEYES,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.581,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,56.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,NO,REPUBLICAN,,,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.601,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,57.0,THIRD CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,DEMOCRAT,,,"$100,000 OR MORE",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,DEMOCRAT,65+,65-74,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.629,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,58.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,TODAY,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.525,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,59.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.525,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,60.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,MORAL VALUES,STRONG LEADER,OMITS,OMITS,OMITS,YES,,TAX CUT,,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,,,OMITS,,,,,NOT AT ALL,1,,,OMITS,OMITS,OMITS,,,,REPUBLICAN,,0.581,NOT COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,68.0,THIRD CALL,40-44,WHITE,FEMALE,MCCAIN,,TAXES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.542,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,69.0,THIRD CALL,40-44,WHITE,MALE,KEYES,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.77,COMPLETED,SOUTHERN CALIFORNIA
,5.0,116.0,70.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,BUSH,,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,OMITS,,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,OMITS,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,YES,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.8270000000000001,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,71.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.601,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,73.0,THIRD CALL,30-39,WHITE,FEMALE,MCCAIN,,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.542,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,116.0,76.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.525,COMPLETED,SOUTHERN CALIFORNIA
WHITE,5.0,119.0,2.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,YES,REPUBLICAN,,,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.522,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,INDEPENDENT,,,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,OMITS,MCCAIN,,MCCAIN,BOTH,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.588,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,4.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,NO,INDEPENDENT,,,,NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,,,,BUSH,MCCAIN,,NEITHER,NEITHER,YES,,,2, KEYES,WINS AMONG ALL VOTERS,,,,,NO,,REPUBLICAN,OMITS,0.708,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.629,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,11.0,FIRST CALL,60-64,WHITE,MALE,MCCAIN,,SOCIAL SECURITY/MEDICARE,NEW IDEAS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,0.5680000000000001,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,12.0,FIRST CALL,25-29,WHITE,FEMALE,MCCAIN,,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,JEWISH,REPUBLICAN,,0.606,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,13.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,,TAX CUT,,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.578,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,14.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,YES,SOMEWHAT,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.578,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,15.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,,WORLD AFFAIRS,HAS RIGHT EXPERIENCE,OMITS,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.651,COMPLETED,CENTRAL VALLEY/NORTH
HISPANIC,5.0,119.0,20.0,SECOND CALL,45-49,HISPANIC/LATINO,FEMALE,BUSH,THIS YEAR,,,OMITS,,,,OMITS,,,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,,,,BUSH,MCCAIN,,OMITS,BOTH,YES,,,2,OMITS,OMITS,,,,,,,REPUBLICAN,OMITS,0.593,NOT COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,21.0,SECOND CALL,50-59,HISPANIC/LATINO,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,YES,NO,REPUBLICAN,,,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,YES,,REPUBLICAN,SATISFIED,0.526,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,WORSE,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.651,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,YES,REPUBLICAN,,,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.651,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,28.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.671,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,32.0,SECOND CALL,65-74,WHITE,MALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,OMITS,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.629,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,119.0,33.0,SECOND CALL,65-74,WHITE,MALE,BUSH,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,YES,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,0.629,COMPLETED,CENTRAL VALLEY/NORTH
