BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,REGREPRI,CHAFFEE,BEATDEM,REL5,WEIGHT
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,61.0,10.0,THIRD CALL,45-49,MALE,MCCAIN,TODAY,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NO,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,JEWISH,3.962
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,61.0,11.0,THIRD CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,JEWISH,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,JEWISH,4.539
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,61.0,12.0,THIRD CALL,40-44,MALE,MCCAIN,THIS YEAR,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,JEWISH,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,JEWISH,3.962
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,61.0,13.0,THIRD CALL,45-49,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,JEWISH,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NO,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,JEWISH,4.168
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,61.0,14.0,THIRD CALL,30-39,FEMALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,JEWISH,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,GORE,GORE,NOT CONSERVATIVE ENOUGH,BOTH,YES,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,JEWISH,4.773
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,1.0,FIRST CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,MCCAIN,NO,MCCAIN,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,2.0,FIRST CALL,45-49,,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,,YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,NO,BOTH,NO,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.852
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,3.0,FIRST CALL,40-44,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,4.0,FIRST CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,OMITS,OMITS,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,"$15,000-$29,000",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,OMITS,ABOUT RIGHT,MCCAIN,NO,OMITS,NO,NO,UNAFFILIATED/INDEPENDENT,OMITS,MCCAIN,SOMETHING ELSE,0.852
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,5.0,FIRST CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.852
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,6.0,FIRST CALL,75+,,MCCAIN,THIS YEAR,OMITS,OMITS,OMITS,OMITS,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,DEMOCRAT,65+,75+,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NEITHER,YES,YES,UNAFFILIATED/INDEPENDENT,OMITS,MCCAIN,CATHOLIC,1.312
NOT COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,7.0,FIRST CALL,40-44,FEMALE,BUSH,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STRONG LEADER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,40-49,,40-49,40-49,OMITS,OMITS,OMITS,BUSH,GORE,OMITS,OMITS,NO,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.976
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,8.0,FIRST CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,9.0,FIRST CALL,60-64,MALE,BUSH,BEFORE THAT,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.5030000000000001
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,10.0,FIRST CALL,60-64,FEMALE,BUSH,WITHIN LAST 3 DAYS,ABORTION,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,OMITS,NO,OMITS,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,CATHOLIC,1.581
NOT COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,11.0,FIRST CALL,30-39,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,NO,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,12.0,SECOND CALL,30-39,FEMALE,BUSH,TODAY,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.976
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,13.0,SECOND CALL,25-29,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,OMITS,BOTH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.577
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,14.0,SECOND CALL,25-29,FEMALE,BUSH,BEFORE THAT,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.607
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,15.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,BUSH,YES,NO,,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.976
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,16.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,BUSH,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,17.0,SECOND CALL,50-59,,MCCAIN,THIS YEAR,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.852
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,18.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.811
NOT COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,19.0,SECOND CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,OMITS,OMITS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,75+,STATE,60+,60+,,65+,75+,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,REPUBLICAN,FAVORABLE,OMITS,,1.581
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,20.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,0.927
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,21.0,SECOND CALL,18-24,MALE,KEYES,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.651
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,22.0,SECOND CALL,25-29,FEMALE,MCCAIN,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,0.53
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,23.0,SECOND CALL,50-59,FEMALE,KEYES,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,OMITS,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,OMITS,BUSH,CATHOLIC,1.099
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,24.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,OMITS,OMITS,NO,LEGAL IN MOST CASES,NO,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,,NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,25.0,THIRD CALL,30-39,MALE,BUSH,BEFORE THAT,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BOTH,YES,BOTH,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.927
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,26.0,THIRD CALL,45-49,MALE,BUSH,WITHIN LAST 3 DAYS,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,YES,MCCAIN,YES,NO,REPUBLICAN,UNFAVORABLE,MCCAIN,CATHOLIC,0.927
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,27.0,THIRD CALL,45-49,MALE,MCCAIN,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,REPUBLICAN,OMITS,MCCAIN,CATHOLIC,0.811
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,28.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.811
NOT COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,29.0,THIRD CALL,50-59,,MCCAIN,THIS YEAR,ABORTION,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,GORE,MCCAIN,OMITS,OMITS,NO,OMITS,NO,,,UNFAVORABLE,OMITS,,0.811
NOT COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,30.0,THIRD CALL,45-49,FEMALE,KEYES,WITHIN LAST 3 DAYS,ABORTION,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,GORE,GORE,OMITS,OMITS,NO,OMITS,YES,,REPUBLICAN,UNFAVORABLE,OMITS,,1.099
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,31.0,THIRD CALL,30-39,MALE,BUSH,TODAY,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.927
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,32.0,THIRD CALL,40-44,FEMALE,BUSH,WITHIN LAST WEEK,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,NO,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,SOMETHING ELSE,0.976
COMPLETED,PROVIDENCE/OTHER INDUSTRIAL,40.0,65.0,33.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,CATHOLIC,0.927
