MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
GREAT DEAL,NO,COMPLETED,LONG ISLAND,33.0,125.0,3.0,FIRST CALL,40-44,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.679
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,4.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,MCCAIN,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,5.0,FIRST CALL,30-39,MALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,6.0,FIRST CALL,65-74,MALE,BUSH,BEFORE THAT,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,MCCAIN,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.774
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,7.0,FIRST CALL,25-29,MALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,SUBURBS,HI REP,0.897
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,8.0,SECOND CALL,65-74,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.62
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,9.0,SECOND CALL,60-64,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,OMITS,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.62
OMITS,NO,COMPLETED,LONG ISLAND,33.0,125.0,10.0,SECOND CALL,65-74,MALE,MCCAIN,WITHIN LAST WEEK,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,MCCAIN,CATHOLIC,FAVORABLE,OMITS,OMITS,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,11.0,SECOND CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.62
NOT AT ALL,,COMPLETED,LONG ISLAND,33.0,125.0,12.0,SECOND CALL,60-64,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.774
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,13.0,SECOND CALL,45-49,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,14.0,SECOND CALL,65-74,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,,NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,GREAT DEAL,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,15.0,SECOND CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,ABORTION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,16.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT AT ALL,YES,COMPLETED,LONG ISLAND,33.0,125.0,17.0,SECOND CALL,75+,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BUSH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.519
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,18.0,SECOND CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.62
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,19.0,SECOND CALL,50-59,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,TOO CONSERVATIVE,BUSH,BUSH,YES,YES,BUSH,CATHOLIC,FAVORABLE,UNFAVORABLE,SOMEWHAT,SUBURBS,HI REP,0.723
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,20.0,SECOND CALL,65-74,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,MCCAIN,NO,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.774
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,21.0,SECOND CALL,60-64,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,,,NO,,,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,GORE,GORE,OMITS,MCCAIN,NEITHER,YES,YES,MCCAIN,,FAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.659
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,22.0,SECOND CALL,65-74,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,SUBURBS,HI REP,0.728
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,23.0,SECOND CALL,75+,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,24.0,SECOND CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.62
NOT MUCH,NO,NOT COMPLETED,LONG ISLAND,33.0,125.0,25.0,SECOND CALL,75+,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,75+,STATE,60+,60+,,65+,75+,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,26.0,SECOND CALL,30-39,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.616
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,27.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.774
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,28.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.616
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,29.0,SECOND CALL,65-74,MALE,MCCAIN,WITHIN LAST WEEK,ABORTION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,30.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,OMITS,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,GORE,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,,FAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.579
SOMEWHAT,NO,COMPLETED,LONG ISLAND,33.0,125.0,31.0,SECOND CALL,18-24,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,DEMOCRAT,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.897
GREAT DEAL,NO,COMPLETED,LONG ISLAND,33.0,125.0,32.0,SECOND CALL,50-59,,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.616
NOT MUCH,NO,COMPLETED,LONG ISLAND,33.0,125.0,33.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BUSH,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.579
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,34.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,DEMOCRAT,65+,65-74,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.659
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,35.0,SECOND CALL,18-24,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,SUBURBS,HI REP,0.897
NOT AT ALL,NO,NOT COMPLETED,LONG ISLAND,33.0,125.0,36.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,60+,60+,,50-64,50-64,OMITS,OMITS,OMITS,BUSH,OMITS,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,FAVORABLE,NOT MUCH,SUBURBS,HI REP,0.728
NOT AT ALL,NO,COMPLETED,LONG ISLAND,33.0,125.0,37.0,SECOND CALL,60-64,MALE,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,SUBURBS,HI REP,0.659
